k,dataset_name,Threads,Time,Distance_measure,Accuracy,Recall,Precision,F1score
40,../../data/cam_uk/train_image_dataset.csv,1,6.95316e-310,chebyshev,0.225,0.169799,0.225,0.19354
40,../../data/cam_uk/train_image_dataset.csv,2,2.10403e-317,chebyshev,0.225,0.169799,0.225,0.19354
40,../../data/cam_uk/train_image_dataset.csv,4,1.34599e-312,chebyshev,0.225,0.169799,0.225,0.19354
40,../../data/cam_uk/train_image_dataset.csv,6,6.95316e-310,chebyshev,0.225,0.169799,0.225,0.19354
40,../../data/cam_uk/train_image_dataset.csv,8,3.95253e-322,chebyshev,0.225,0.169799,0.225,0.19354
40,../../data/cam_uk/train_image_dataset.csv,10,6.95316e-310,chebyshev,0.225,0.169799,0.225,0.19354
40,../../data/cam_uk/train_image_dataset.csv,12,6.95316e-310,chebyshev,0.225,0.169799,0.225,0.19354
40,../../data/cam_uk/train_image_dataset.csv,14,1.97626e-323,chebyshev,0.225,0.169799,0.225,0.19354
40,../../data/cam_uk/train_image_dataset.csv,16,6.95316e-310,chebyshev,0.225,0.169799,0.225,0.19354
40,../../data/cam_uk/train_image_dataset.csv,18,2.08801e-317,chebyshev,0.225,0.169799,0.225,0.19354
40,../../data/cam_uk/train_image_dataset.csv,20,6.95316e-310,chebyshev,0.225,0.169799,0.225,0.19354
